N sz rem t1 t2 t3
10000 32 17 850252 850252 850252
10000 64 17 443116 443116 443116
10000 96 17 310580 310583 310583
10000 128 17 248361 248358 248358
10000 160 81 212905 212906 212906
10000 192 17 195578 195578 195578
10000 224 145 208557 208559 208559
10000 256 17 197532 197534 197534
10000 288 209 202667 202668 202668
10000 320 81 219942 219939 219939
10000 352 145 208534 208534 208534
10000 384 17 202346 202346 202346
10000 416 17 228810 228808 228808
10000 448 145 217166 217170 217170
10000 480 401 211191 211193 211193
10000 512 273 203816 203819 203819
10000 544 209 258607 258622 258622
10000 576 209 249140 249135 249135
10000 608 273 242231 242230 242230
10000 640 401 236226 236248 236248
10000 672 593 232298 232316 232316
10000 704 145 225223 227352 227352
10000 736 433 222856 223260 223260
10000 768 17 220858 220870 220870
10000 800 401 369671 368989 368989
10000 832 17 368970 368258 368258
10000 864 497 353064 352452 352452
10000 896 145 350945 350308 350308
10000 928 721 333011 332412 332412
10000 960 401 333246 332633 332633
10000 992 81 339295 338993 338993
10000 1024 785 336913 336325 336325
1000 1 0 22730 22730 22732
1000 32 9 940 942 941
1000 64 41 529 528 529
1000 96 41 403 403 402
1000 128 105 335 334 335
1000 160 41 313 314 314
1000 192 41 295 308 295
1000 224 105 296 296 296
1000 256 233 284 294 284
1000 288 137 291 291 292
1000 320 41 319 320 319
1000 352 297 302 302 302
1000 384 233 291 291 292
1000 416 169 309 309 309
1000 448 105 314 312 312
1000 480 41 317 317 317
1000 512 489 302 302 302
1000 544 457 338 337 337
1000 576 425 340 340 340
1000 608 393 342 341 341
1000 640 361 327 329 327
1000 672 329 328 327 328
1000 704 297 328 329 328
1000 736 265 321 321 336
1000 768 233 317 316 316
1000 800 201 459 459 459
1000 832 169 454 455 454
1000 864 137 457 456 458
1000 896 105 458 459 459
1000 928 73 456 461 456
1000 960 41 461 461 461
1000 992 9 469 469 468
100 1 0 21 13 10
100 32 5 14 10 11
100 64 37 10 12 11
100 96 5 10 11 9
1100 1 0 30275 30277 30279
1100 32 13 1235 1238 1235
1100 64 13 704 703 705
1100 96 45 521 521 520
1100 128 77 439 438 473
1100 160 141 387 387 387
1100 192 141 364 364 364
1100 224 205 378 378 378
1100 256 77 376 377 377
1100 288 237 373 372 372
1100 320 141 394 393 393
1100 352 45 402 402 403
1100 384 333 380 381 381
1100 416 269 400 400 400
1100 448 205 397 397 396
1100 480 141 392 391 391
1100 512 77 395 396 396
1100 544 13 473 474 473
1100 576 525 468 467 469
1100 608 493 424 425 425
1100 640 461 424 424 425
1100 672 429 425 425 425
1100 704 397 427 427 427
1100 736 365 412 411 413
1100 768 333 412 412 411
1100 800 301 582 581 582
1100 832 269 574 575 574
1100 864 237 572 571 571
1100 896 205 575 573 575
1100 928 173 561 562 561
1100 960 141 567 565 567
1100 992 109 575 575 574
1100 1024 77 578 577 578
1200 1 0 39376 39371 39374
1200 32 17 1582 1586 1581
1200 64 49 879 878 877
1200 96 49 661 660 661
1200 128 49 560 561 560
1200 160 81 502 502 502
1200 192 49 477 478 478
1200 224 81 491 492 491
1200 256 177 460 458 460
1200 288 49 494 494 493
1200 320 241 491 490 491
1200 352 145 487 487 486
1200 384 49 496 495 496
1200 416 369 503 503 502
1200 448 305 505 505 506
1200 480 241 489 489 488
1200 512 177 481 481 481
1200 544 113 569 569 569
1200 576 49 577 578 577
1200 608 593 570 570 571
1200 640 561 571 572 571
1200 672 529 574 573 573
1200 704 497 521 522 521
1200 736 465 523 523 523
1200 768 433 524 524 524
1200 800 401 724 724 724
1200 832 369 707 709 708
1200 864 337 712 711 712
1200 896 305 714 714 714
1200 928 273 698 697 698
1200 960 241 695 696 695
1200 992 209 706 706 706
1200 1024 177 697 698 697
1300 1 0 49873 49864 49859
1300 32 21 1991 1997 1991
1300 64 21 1122 1119 1122
1300 96 53 822 824 823
1300 128 21 705 704 705
1300 160 21 634 636 635
1300 192 149 571 572 571
1300 224 181 591 589 591
1300 256 21 604 605 604
1300 288 149 591 590 590
1300 320 21 648 649 648
1300 352 245 600 599 601
1300 384 149 593 593 593
1300 416 53 661 661 661
1300 448 405 634 634 635
1300 480 341 614 614 613
1300 512 277 603 601 603
1300 544 213 695 694 698
1300 576 149 688 687 688
1300 608 85 696 698 696
1300 640 21 705 704 705
1300 672 629 688 689 688
1300 704 597 691 690 691
1300 736 565 692 693 692
1300 768 533 696 695 695
1300 800 501 863 864 863
1300 832 469 868 866 868
1300 864 437 871 873 872
1300 896 405 878 877 878
1300 928 373 849 851 849
1300 960 341 854 853 854
1300 992 309 867 868 867
1300 1024 277 856 854 856
1400 1 0 62335 62329 62334
1400 32 25 2465 2465 2471
1400 64 57 1353 1356 1357
1400 96 57 1010 1012 1010
1400 128 121 828 826 828
1400 160 121 747 748 746
1400 192 57 721 721 722
1400 224 57 750 751 750
1400 256 121 712 711 712
1400 288 249 716 717 715
1400 320 121 762 761 762
1400 352 345 740 741 740
1400 384 249 720 719 720
1400 416 153 778 778 777
1400 448 57 791 789 791
1400 480 441 759 758 759
1400 512 377 736 736 735
1400 544 313 850 850 850
1400 576 249 828 828 829
1400 608 185 822 823 822
1400 640 121 827 826 827
1400 672 57 838 837 837
1400 704 697 823 825 824
1400 736 665 825 824 825
1400 768 633 825 824 826
1400 800 601 1087 1089 1086
1400 832 569 1094 1091 1093
1400 864 537 1100 1101 1100
1400 896 505 1035 1033 1035
1400 928 473 1028 1027 1028
1400 960 441 1033 1034 1033
1400 992 409 1052 1051 1051
1400 1024 377 1027 1025 1027
1500 1 0 76897 76891 76895
1500 32 29 3017 3025 3018
1500 64 29 1682 1679 1683
1500 96 61 1228 1230 1228
1500 128 93 1015 1014 1015
1500 160 61 923 925 923
1500 192 157 845 844 845
1500 224 157 877 878 877
1500 256 221 854 855 855
1500 288 61 898 897 898
1500 320 221 910 912 912
1500 352 93 909 910 909
1500 384 349 883 882 884
